VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,1/25/2015 0:13,1/25/2015 0:21,5,2.05,-8236635.89811,4973306.20239,1,N,-8236610.41931,4976325.64142,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76
2,1/25/2015 0:13,1/25/2015 0:34,1,3.05,-8236711.48516,4972170.30075,1,N,-8232267.09679,4970362.20806,1,16.5,0.5,0.5,5.34,0.0,0.3,23.14
2,1/25/2015 0:13,1/25/2015 0:27,4,3.06,-8236822.74342,4971686.16739,1,N,-8233640.41529,4976545.39702,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56
2,1/25/2015 0:13,1/25/2015 0:15,1,0.49,-8236101.68812,4976998.37482,1,N,-8235817.1722,4977584.81098,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
2,1/25/2015 0:13,1/25/2015 0:24,1,2.6,-8231906.99382,4980310.01702,1,N,-8234473.57934,4982936.13139,1,11.0,0.5,0.5,1.5,0.0,0.3,13.8
2,1/25/2015 0:13,1/25/2015 0:41,1,6.17,-8237824.06892,4974204.59421,1,N,-8228715.32264,4974519.58333,1,24.0,0.5,0.5,2.7,0.0,0.3,28.0
2,1/25/2015 0:13,1/25/2015 0:34,1,3.72,-8234897.38043,4981398.06989,1,N,-8238203.70623,4974242.14506,1,16.5,0.5,0.5,3.56,0.0,0.3,21.36
2,1/25/2015 0:13,1/25/2015 0:18,1,1.1,-8235402.71415,4974984.79951,1,N,-8236269.0002,4972990.69266,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,1/25/2015 0:13,1/25/2015 0:21,2,2.63,-8236843.9765,4968409.93333,1,N,-8236852.46907,4971125.85764,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16
2,1/25/2015 0:13,1/25/2015 0:22,2,2.22,-8236810.85339,4971784.22453,1,N,-8238855.12006,4968671.5206,1,9.5,0.5,0.5,2.7,0.0,0.3,13.5
2,1/25/2015 0:13,1/25/2015 0:20,1,1.79,-8232709.58286,4978838.53653,1,N,-8234790.36789,4976516.80619,1,8.0,0.5,0.5,2.79,0.0,0.3,12.09
2,1/25/2015 0:13,1/25/2015 0:24,1,1.14,-8236875.40088,4971759.00987,1,N,-8237751.02886,4973365.04601,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76
2,1/25/2015 0:13,1/25/2015 1:02,1,10.2,-8237376.48776,4977335.31885,1,N,-8227465.15356,4966730.78499,2,39.0,0.5,0.5,0.0,0.0,0.3,40.3
2,1/4/2015 13:44,1/4/2015 13:53,5,1.48,-8236122.92009,4976914.28134,1,N,-8237224.46318,4975053.18207,1,7.5,0.0,0.5,1.5,0.0,0.3,9.8
2,1/4/2015 13:44,1/4/2015 13:45,1,0.03,-8231465.35712,4982087.41862,1,N,-8231486.5902,4982053.20191,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3
