Date,Total Passengers,AvgPassengers,TotalTripDistance,AvgTripDistance,TotalFareAmount,AvgFareAmount,TotalExtraAmount,AvgExtraAmount,TotalMTATax,AvgMTATax,TotalTipAmount,AvgTipAmount,TotalTollsAmount,AvgTollsAmount,TotalTotalAmount,AvgTotalAmount,TotalNoOfTrips,Day
6/2/2015,649910,1.64,923869.59,2.33,4610573.01,11.63,144153,0.36,197796,0.5,617063.9,1.56,1347,0,5690540.51,14.36,396370,Tuesday
6/3/2015,661961,1.64,954908.78,2.37,4724736.39,11.74,147417.7,0.37,200906,0.5,626384.6,1.56,1369,0,5821641.58,14.46,402579,Wednesday
6/4/2015,693139,1.65,1011240.74,2.41,5009244.23,11.94,155870.2,0.37,209246.5,0.5,656392.04,1.56,1821,0,6158482.5,14.68,419622,Thursday
6/5/2015,714319,1.67,1034718,2.43,5041913.71,11.82,160684,0.38,212845,0.5,644198.58,1.51,1746,0,6189441.31,14.51,426609,Friday
6/6/2015,756588,1.74,1110580.76,2.56,4962622.47,11.42,93085.3,0.21,216811,0.5,591504.02,1.36,1466,0,5995906.83,13.8,434472,Saturday
6/7/2015,658654,1.73,1070287.45,2.81,4558362.88,11.97,81791,0.21,189864.5,0.5,549709.41,1.44,1568,0,5495544.16,14.43,380727,Sunday
6/8/2015,606673,1.66,892655.09,2.44,4178752.49,11.41,138600.11,0.38,182782,0.5,533872.6,1.46,1782,0,5145731.41,14.05,366299,Monday
6/9/2015,637295,1.65,910619.54,2.35,4476119.64,11.56,139984.5,0.36,193148,0.5,589378.43,1.52,1401,0,5516225.78,14.25,387056,Tuesday
6/10/2015,662238,1.65,958474,2.39,4713567.04,11.75,149145.6,0.37,200198.5,0.5,624978.68,1.56,1695,0,5810009.81,14.48,401228,Wednesday
6/11/2015,688481,1.66,988303.88,2.38,4934960.11,11.87,153768.65,0.37,207376,0.5,657077.46,1.58,1772,0,6079702.71,14.63,415674,Thursday
6/12/2015,703962,1.68,1011841.28,2.41,4917293.27,11.72,160992.1,0.38,209400,0.5,627924.29,1.5,2142,0.01,6043705.37,14.4,419729,Friday
