Date,Total Passengers,AvgPassengers,TotalTripDistance,AvgTripDistance,TotalFareAmount,AvgFareAmount,TotalExtraAmount,AvgExtraAmount,TotalMTATax,AvgMTATax,TotalTipAmount,AvgTipAmount,TotalTollsAmount,AvgTollsAmount,TotalTotalAmount,AvgTotalAmount,TotalNoOfTrips,Day
11/28/2015,578438,1.76,824413.46,2.51,3623306.64,11.04,62348.5,0.19,163771.5,0.5,410007.95,1.25,1055,0,4358932.39,13.28,328207,Saturday
11/29/2015,532425,1.71,839401.06,2.7,3552498.46,11.43,58142.5,0.19,154999.5,0.5,432617.15,1.39,1495,0,4293007.31,13.81,310912,Sunday
11/30/2015,520623,1.62,782794.7,2.44,3631740.55,11.31,118330,0.37,160167,0.5,483191.15,1.5,1527,0,4491252.4,13.99,321058,Monday
12/1/2015,572691,1.63,809675,2.3,4108247.22,11.66,125094.52,0.36,175737,0.5,558246.91,1.58,1245,0,5074245.85,14.4,352310,Tuesday
12/2/2015,578539,1.62,833786,2.34,4187432.63,11.73,127382.52,0.36,178030.5,0.5,583673.1,1.64,1676,0,5185244.25,14.53,356921,Wednesday
12/3/2015,632967,1.63,917644.85,2.36,4613355.91,11.88,144062.47,0.37,193588.5,0.5,633351.07,1.63,2038,0.01,5702825.95,14.69,388202,Thursday
12/4/2015,668803,1.65,959241.54,2.37,4763798.76,11.76,156519.55,0.39,202012.5,0.5,637943.98,1.57,1902,0,5883680.39,14.52,405100,Friday
12/5/2015,752419,1.73,1051191.28,2.41,5016844.69,11.52,90356.02,0.21,217272,0.5,624925.18,1.43,1163,0,6081199.89,13.96,435519,Saturday
12/6/2015,640907,1.71,971858.56,2.59,4252563.45,11.33,75848.7,0.2,187091,0.5,543839.83,1.45,3098,0.01,5175002.08,13.79,375269,Sunday
12/7/2015,564669,1.63,822532.71,2.37,3924406.25,11.31,130335.54,0.38,173049,0.5,530419.24,1.53,2632,0.01,4864898.03,14.02,346937,Monday
12/8/2015,585961,1.63,838894.98,2.33,4248091.1,11.8,131608.06,0.37,179499.5,0.5,592952.6,1.65,3121,0.01,5263207.86,14.63,359877,Tuesday
12/9/2015,599441,1.63,868936.49,2.36,4439141.77,12.07,135190.34,0.37,183380,0.5,620617.03,1.69,2929,0.01,5491560.84,14.93,367785,Wednesday
12/10/2015,620959,1.63,910716.95,2.39,4661609.04,12.26,142772.27,0.38,189616,0.5,650814.21,1.71,3266,0.01,5762148.92,15.15,380336,Thursday
12/11/2015,668337,1.66,977557.65,2.43,4949933.82,12.29,156231.82,0.39,200851,0.5,669694.19,1.66,3415,0.01,6100947.93,15.14,402838,Friday
12/12/2015,730915,1.73,1033375.13,2.44,5141683.77,12.14,86672,0.2,211345,0.5,643538.06,1.52,2167,0.01,6212492.23,14.66,423697,Saturday
12/13/2015,609597,1.72,934642.35,2.63,4220154.61,11.89,72365.02,0.2,176859.5,0.5,532240.81,1.5,3485,0.01,5111541.54,14.4,354862,Sunday
12/14/2015,567372,1.63,812976.96,2.33,3841834.14,11.02,134599.23,0.39,173860.5,0.5,524832.73,1.51,3446,0.01,4783100.5,13.73,348490,Monday
12/15/2015,609065,1.63,880371.14,2.35,4289995.67,11.45,140372.3,0.37,186858.5,0.5,599708.69,1.6,2457,0.01,5331760.46,14.23,374633,Tuesday
12/16/2015,643677,1.63,919803.67,2.33,4544948.34,11.52,146222,0.37,196682,0.5,641497.23,1.63,2654,0.01,5650293.27,14.33,394384,Wednesday
12/17/2015,646685,1.64,939596.41,2.38,4755643.16,12.04,140388.13,0.36,196994.5,0.5,670019.42,1.7,2816,0.01,5884363.21,14.89,395100,Thursday
12/18/2015,718165,1.65,1035199.04,2.38,5087195.02,11.71,166799.32,0.38,216510,0.5,695784.91,1.6,3698,0.01,6300256.55,14.51,434317,Friday
12/19/2015,767051,1.73,1066893.79,2.41,4976639.73,11.22,92780.3,0.21,221217.5,0.5,630845.07,1.42,2843,0.01,6057374.7,13.66,443575,Saturday
12/20/2015,636322,1.73,925808.55,2.52,4083132.95,11.11,76197,0.21,183166.5,0.5,510560.72,1.39,3100,0.01,4966357.97,13.52,367388,Sunday
12/21/2015,544175,1.65,771377.92,2.34,3611513.64,10.94,121922.3,0.37,164745.5,0.5,462074.3,1.4,2765,0.01,4462070.64,13.51,330226,Monday
12/22/2015,560599,1.66,776604.84,2.3,3786358.29,11.21,121895.77,0.36,168494,0.5,485932.05,1.44,3419,0.01,4667438.41,13.81,337885,Tuesday
12/23/2015,537529,1.67,742597.24,2.31,3607906.69,11.23,114131.2,0.36,160252,0.5,447011.34,1.39,2705,0.01,4428407.33,13.78,321402,Wednesday
12/24/2015,486005,1.71,684517,2.41,2999121.51,10.57,104625.02,0.37,141532.5,0.5,336520.19,1.19,1793,0.01,3668696.22,12.93,283723,Thursday
12/25/2015,316424,1.78,493782.37,2.77,2031224.33,11.41,34425.23,0.19,88789,0.5,199586.17,1.12,1508,0.01,2408930.43,13.53,178025,Friday
12/26/2015,403038,1.78,570577.1,2.52,2540813.42,11.23,38366.7,0.17,112862,0.5,252068.13,1.11,1098,0,3013043.45,13.32,226154,Saturday
12/27/2015,445977,1.77,699617.74,2.78,4661538.53,18.5,49191.12,0.2,125601.5,0.5,316481.99,1.26,2147,0.01,5230529.24,20.76,251935,Sunday
12/28/2015,493810,1.73,708797.75,2.49,3226775.54,11.31,114188.92,0.4,142320,0.5,356144.01,1.25,1336,0,3926305.57,13.77,285214,Monday
12/29/2015,508527,1.72,724507.8,2.45,3307196.71,11.17,114158.5,0.39,147691,0.5,378725.14,1.28,1844,0.01,4038397.95,13.64,295999,Tuesday
12/30/2015,521669,1.73,746963.1,2.47,3576381.76,11.83,120752.54,0.4,150825.5,0.5,410143.5,1.36,1487,0,4350262.3,14.39,302288,Wednesday
12/31/2015,567176,1.74,813367.36,2.49,3508331.57,10.74,135662.11,0.42,163030.5,0.5,411628.18,1.26,1394,0,4318044.66,13.22,326710,Thursday
